timestamp,mean_time_to_recovery,zero_downtime_success_rate,anomaly_resolution_accuracy,uptime_ratio
28/05/2025 12:00,1.35,0.74,0.876,0.86
28/05/2025 12:30,1.16,0.985,0.891,0.947
28/05/2025 13:00,1.39,0.799,0.845,0.78
28/05/2025 13:30,1.66,0.694,0.84,0.817
28/05/2025 14:00,1.13,0.882,0.941,0.811
28/05/2025 14:30,1.13,0.678,0.968,0.704
28/05/2025 15:00,1.67,0.821,0.896,0.88
28/05/2025 15:30,1.43,0.604,0.95,0.876
28/05/2025 16:00,1.06,0.667,0.918,0.851
28/05/2025 16:30,1.36,0.82,0.868,0.827
28/05/2025 17:00,1.06,0.874,0.918,0.708
28/05/2025 17:30,1.06,0.817,0.977,0.808
28/05/2025 18:00,1.27,0.788,0.898,0.816
28/05/2025 18:30,0.63,0.77,0.978,0.77
28/05/2025 19:00,0.68,0.652,0.769,0.834
28/05/2025 19:30,1.03,0.728,0.941,0.89
28/05/2025 20:00,0.9,0.754,0.904,1.0
28/05/2025 20:30,1.29,0.906,0.885,0.867
28/05/2025 21:00,0.93,0.834,0.905,0.876
28/05/2025 21:30,0.78,0.624,0.801,0.843
28/05/2025 22:00,1.64,0.832,0.889,0.658
28/05/2025 22:30,1.13,0.761,0.918,0.847
28/05/2025 23:00,1.22,0.732,0.974,0.856
28/05/2025 23:30,0.77,0.861,0.874,1.0
29/05/2025 00:00,1.04,0.903,0.86,0.831
29/05/2025 00:30,1.23,0.893,0.875,0.88
29/05/2025 01:00,0.85,0.716,0.946,0.847
29/05/2025 01:30,1.31,0.769,0.916,0.733
29/05/2025 02:00,1.02,0.833,0.874,0.964
29/05/2025 02:30,1.11,0.898,0.926,0.925
